Year,League,Name,Team,Position
2006,NL,Hanley Ramirez,Florida (2),SS
2007,AL,Dustin Pedroia,Boston (6),2B
2007,NL,Ryan Braun,Milwaukee (2),3B
2008,AL,Evan Longoria,Tampa Bay (1),3B
2008,NL,Geovany Soto,Chicago (5),C
2009,AL,Andrew Bailey,Oakland (8),RHP
2009,NL,Chris Coghlan,Florida (3),LF
2010,AL,Neftali Feliz,Texas (2),RHP
2010,NL,Buster Posey,San Francisco (6),C
2011,AL,Jeremy Hellickson,Tampa Bay (2),RHP
2011,NL,Craig Kimbrel (Unanimous),Atlanta (7),RHP
2012,AL,Mike Trout (Unanimous),Los Angeles (2),OF
2012,NL,Bryce Harper,Washington (3),OF
2013,AL,Wil Myers,Tampa Bay (3),OF
2013,NL,Jose Fernandez,Miami (4),RHP
2014,AL,Jose Abreu (Unanimous),Chicago (6),1B
2014,NL,Jacob deGrom,New York (5),RHP
2015,AL,Carlos Correa,Houston (2),SS
2015,NL,Kris Bryant,Chicago (6),3B
2016,AL,Michael Fulmer,Detroit (4),RHP
2016,NL,Corey Seager (Unanimous),Los Angeles (17),SS
2017,AL,Aaron Judge (Unanimous),New York (9),RF
2017,NL,Cody Bellinger (Unanimous),Los Angeles (18),1B
2018,AL,Shohei Ohtani,Los Angeles (3),RHP / DH
2018,NL,Ronald Acuna Jr.,Atlanta (8),OF
2019,AL,Yordan Alvarez (Unanimous),Houston (3),DH
2019,NL,Pete Alonso,New York (6),1B
2020,AL,Kyle Lewis (Unanimous),Seattle (4),OF
2020,NL,Devin Williams,Milwaukee (3),RP
2021,AL,Randy Arozarena,Tampa Bay (4),OF
2021,NL,Jonathan India,Cincinnati (8),2B
2022,AL,Julio Rodríguez,Seattle (5),CF
2022,NL,Michael Harris II,Atlanta (9),CF
2023,AL,Gunnar Henderson (Unanimous),Baltimore (8),SS
2023,NL,Corbin Carroll (Unanimous),Arizona (1),LF
2024,AL,Luis Gil,New York (10),RHP
2024,NL,Paul Skenes,Pittsburgh (2),RHP
2025,AL,Nick Kurtz (Unanimous),Sacramento (9),1B
2025,NL,Drake Baldwin,Atlanta (10),C
2026,AL,To Be Determined (x),--,--
2026,NL,To Be Determined (x),--,--
Year,LG,Rookie of the Year,Team (Qty),POS
